LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
93708-6,Heptacarboxylporphyrin I/Creatinine [Molar ratio] in Urine,Test: Heptacarboxylporphyrin I/Creatinine | System: Urine | Units: umol/mol creatinine | Info: 
93709-4,Hexacarboxylporphyrin I/Creatinine [Molar ratio] in Urine,Test: Hexacarboxylporphyrin I/Creatinine | System: Urine | Units: umol/mol creatinine | Info: 
93710-2,Pentacarboxylporphyrin I/Creatinine [Molar ratio] in Urine,Test: Pentacarboxylporphyrin I/Creatinine | System: Urine | Units: umol/mol creatinine | Info: 
93724-3,Keratan sulfate [Mass/volume] in Serum or Plasma,Test: Keratan sulfate | System: Ser/Plas | Units: ng/mL | Info: 
93725-0,Heparan sulfate [Mass/volume] in Serum or Plasma,Test: Heparan sulfate | System: Ser/Plas | Units: ng/mL | Info: 
93727-6,Insulin [Moles/volume] in Serum or Plasma --post meal,Test: Insulin^post meal | System: Ser/Plas | Units: pmol/L | Info: 
93728-4,Copper [Moles/volume] in Dialysis fluid,Test: Copper | System: Dial fld | Units: umol/L | Info: 
12776-1,Mucin-like carcinoma associated Ag [Units/volume] in Serum or Plasma,Test: Mucin-like carcinoma associated Ag | System: Ser/Plas | Units: arb U/mL | Info: 
93748-2,Fibrin monomer [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrin monomer | System: PPP | Units: mg/mL | Info: 
93765-6,Trimethylamine N-oxide [Molar amount] in Serum,Test: Trimethylamine N-oxide | System: Ser | Units: umol | Info: 
12804-1,Acid phosphatase [Enzymatic activity/volume] in Body fluid,Test: Acid phosphatase | System: Body fld | Units: arb U/L | Info: 
93770-6,Ceramide trihexoside [Molar ratio] in Urine,Test: Ceramide trihexoside | System: Urine | Units: umol/mol | Info: 
93771-4,Calprotectin [Mass/volume] in Synovial fluid,Test: Calprotectin | System: Synv fld | Units: mg/L | Info: 
12805-8,Alkaline phosphatase isoenzyme [Units/volume] in Serum or Plasma,Test: Alkaline phosphatase isoenzyme | System: Ser/Plas | Units: arb U/L | Info: 
93773-0,11-Deoxycortisol [Moles/volume] in Saliva (oral fluid),Test: 11-Deoxycortisol | System: Saliva | Units: nmol/L | Info: 
93775-5,2-Octenoate/Creatinine [Molar ratio] in Urine,Test: 2-Octenoate/Creatinine | System: Urine | Units: mmol/mol creatinine | Info: 
93792-0,Insulin sensitivity index in Serum or Plasma by calculation,Test: Insulin sensitivity index | System: Ser/Plas | Units: ratio | Info: 
